# 10,  name, allowedP, trueP, n, [sentinel], time
10, hpce.abp14.direct_fourier_transform, 4, 4, 16, 5.08428, 0.000799928
10, hpce.abp14.direct_fourier_transform, 4, 4, 19, 4.44305, 0.000225456
10, hpce.abp14.direct_fourier_transform, 4, 4, 22, 3.74936, 0.0003006
10, hpce.abp14.direct_fourier_transform, 4, 4, 26, 6.00059, 0.000372138
10, hpce.abp14.direct_fourier_transform, 4, 4, 32, 5.12512, 0.000678494
10, hpce.abp14.direct_fourier_transform, 4, 4, 38, 12.0709, 0.000625413
10, hpce.abp14.direct_fourier_transform, 4, 4, 45, 6.4673, 0.000882533
10, hpce.abp14.direct_fourier_transform, 4, 4, 53, 10.349, 0.000819927
10, hpce.abp14.direct_fourier_transform, 4, 4, 64, 8.48267, 0.00167494
10, hpce.abp14.direct_fourier_transform, 4, 4, 76, 0.770689, 0.00226301
10, hpce.abp14.direct_fourier_transform, 4, 4, 90, 8.68704, 0.00312514
10, hpce.abp14.direct_fourier_transform, 4, 4, 107, 6.6972, 0.00334038
10, hpce.abp14.direct_fourier_transform, 4, 4, 128, 6.99139, 0.00573059
10, hpce.abp14.direct_fourier_transform, 4, 4, 152, 15.2411, 0.00630087
10, hpce.abp14.direct_fourier_transform, 4, 4, 181, 4.25256, 0.00594686
10, hpce.abp14.direct_fourier_transform, 4, 4, 215, 6.5401, 0.00871004
10, hpce.abp14.direct_fourier_transform, 4, 4, 256, 7.77228, 0.0131824
10, hpce.abp14.direct_fourier_transform, 4, 4, 304, 7.41879, 0.0165531
10, hpce.abp14.direct_fourier_transform, 4, 4, 362, 17.4657, 0.0209995
10, hpce.abp14.direct_fourier_transform, 4, 4, 430, 18.7009, 0.0263838
10, hpce.abp14.direct_fourier_transform, 4, 4, 512, 6.38456, 0.0410028
10, hpce.abp14.direct_fourier_transform, 4, 4, 608, 21.7851, 0.0494301
10, hpce.abp14.direct_fourier_transform, 4, 4, 724, 8.56682, 0.0729639
10, hpce.abp14.direct_fourier_transform, 4, 4, 861, 10.009, 0.102245
10, hpce.abp14.direct_fourier_transform, 4, 4, 1024, 15.0743, 0.158007
10, hpce.abp14.direct_fourier_transform, 4, 4, 1217, 30.1267, 0.194432
10, hpce.abp14.direct_fourier_transform, 4, 4, 1448, 32.4621, 0.300679
10, hpce.abp14.direct_fourier_transform, 4, 4, 1722, 26.774, 0.419109
10, hpce.abp14.direct_fourier_transform, 4, 4, 2048, 50.2559, 0.585968
10, hpce.abp14.direct_fourier_transform, 4, 4, 2435, 37.1636, 0.747962
10, hpce.abp14.direct_fourier_transform, 4, 4, 2896, 19.2577, 1.13036
10, hpce.abp14.direct_fourier_transform, 4, 4, 3444, 28.0925, 1.6026
10, hpce.abp14.direct_fourier_transform, 4, 4, 4096, 41.5433, 2.14742
# 11,  name, allowedP, trueP, n, [sentinel], time
11, hpce.abp14.direct_fourier_transform, 4, 4, 16, 5.08428, 0.000418195
11, hpce.abp14.direct_fourier_transform, 4, 4, 19, 4.44305, 0.000381643
11, hpce.abp14.direct_fourier_transform, 4, 4, 22, 3.74936, 0.000212388
11, hpce.abp14.direct_fourier_transform, 4, 4, 26, 6.00059, 0.000326931
11, hpce.abp14.direct_fourier_transform, 4, 4, 32, 5.12512, 0.000425506
11, hpce.abp14.direct_fourier_transform, 4, 4, 38, 12.0709, 0.000446393
11, hpce.abp14.direct_fourier_transform, 4, 4, 45, 6.4673, 0.000519942
11, hpce.abp14.direct_fourier_transform, 4, 4, 53, 10.349, 0.000687616
11, hpce.abp14.direct_fourier_transform, 4, 4, 64, 8.48267, 0.00108622
11, hpce.abp14.direct_fourier_transform, 4, 4, 76, 0.770689, 0.00169098
11, hpce.abp14.direct_fourier_transform, 4, 4, 90, 8.68704, 0.00247251
11, hpce.abp14.direct_fourier_transform, 4, 4, 107, 6.6972, 0.00285541
11, hpce.abp14.direct_fourier_transform, 4, 4, 128, 6.99139, 0.00480242
11, hpce.abp14.direct_fourier_transform, 4, 4, 152, 15.2411, 0.00588405
11, hpce.abp14.direct_fourier_transform, 4, 4, 181, 4.25256, 0.00702135
11, hpce.abp14.direct_fourier_transform, 4, 4, 215, 6.5401, 0.00880141
11, hpce.abp14.direct_fourier_transform, 4, 4, 256, 7.77228, 0.0149377
11, hpce.abp14.direct_fourier_transform, 4, 4, 304, 7.41879, 0.0202957
11, hpce.abp14.direct_fourier_transform, 4, 4, 362, 17.4657, 0.021864
11, hpce.abp14.direct_fourier_transform, 4, 4, 430, 18.7009, 0.0335778
11, hpce.abp14.direct_fourier_transform, 4, 4, 512, 6.38456, 0.0444599
11, hpce.abp14.direct_fourier_transform, 4, 4, 608, 21.7851, 0.0606046
11, hpce.abp14.direct_fourier_transform, 4, 4, 724, 8.56682, 0.0761641
11, hpce.abp14.direct_fourier_transform, 4, 4, 861, 10.009, 0.10104
11, hpce.abp14.direct_fourier_transform, 4, 4, 1024, 15.0743, 0.15036
11, hpce.abp14.direct_fourier_transform, 4, 4, 1217, 30.1267, 0.201286
11, hpce.abp14.direct_fourier_transform, 4, 4, 1448, 32.4621, 0.286306
11, hpce.abp14.direct_fourier_transform, 4, 4, 1722, 26.774, 0.399304
11, hpce.abp14.direct_fourier_transform, 4, 4, 2048, 50.2559, 0.572107
11, hpce.abp14.direct_fourier_transform, 4, 4, 2435, 37.1636, 0.741609
11, hpce.abp14.direct_fourier_transform, 4, 4, 2896, 19.2577, 1.07639
11, hpce.abp14.direct_fourier_transform, 4, 4, 3444, 28.0925, 1.57229
11, hpce.abp14.direct_fourier_transform, 4, 4, 4096, 41.5433, 2.17518
# 12,  name, allowedP, trueP, n, [sentinel], time
12, hpce.abp14.direct_fourier_transform, 4, 4, 16, 5.08428, 0.000458984
12, hpce.abp14.direct_fourier_transform, 4, 4, 19, 4.44305, 0.000188815
12, hpce.abp14.direct_fourier_transform, 4, 4, 22, 3.74936, 0.000263021
