# 16,  name, allowedP, trueP, n, [sentinel], time
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 16, 5.08428, 9.8242e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 19, 3.74151, 6.8792e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 22, 2.7268, 3.2192e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 26, 3.69267, 3.0268e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 32, 5.12512, 2.3489e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 38, 10.1649, 2.8118e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 45, 4.59897, 2.9998e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 53, 6.24848, 3.419e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 64, 8.48267, 3.4553e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 76, 0.649002, 4.972e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 90, 6.17745, 5.2984e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 107, 4.0058, 6.0112e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 128, 6.99139, 6.4967e-05
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 152, 12.8346, 0.00013904
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 181, 3.00734, 0.000118447
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 215, 3.89364, 0.00011316
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 256, 7.77228, 0.000123567
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 304, 6.2474, 0.000173676
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 362, 12.3514, 0.00022357
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 430, 11.1336, 0.000271324
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 512, 6.38456, 0.000237054
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 608, 18.3453, 0.0003576
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 724, 6.05831, 0.000404622
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 861, 5.95193, 0.00044629
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 1024, 15.0743, 0.000468037
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 1217, 25.349, 0.000911331
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 1448, 22.9566, 0.00111246
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 1722, 15.9214, 0.00110697
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 2048, 50.2559, 0.00103765
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 2435, 31.2571, 0.00171007
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 2896, 13.6187, 0.00176411
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 3444, 16.7054, 0.00211218
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 4096, 41.5433, 0.00205692
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 4870, 84.8676, 0.00312943
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 5792, 20.4682, 0.00286244
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 6888, 44.0272, 0.00346621
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 8192, 105.398, 0.00366692
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 9741, 50.2525, 0.00556155
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 11585, 102.396, 0.00579801
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 13777, 48.408, 0.00684203
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 16384, 83.2001, 0.00686296
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 19483, 75.1435, 0.0109413
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 23170, 57.7327, 0.0109008
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 27554, 131.97, 0.0132994
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 32768, 114.539, 0.0139537
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 38967, 204.035, 0.0231163
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 46340, 106.822, 0.0242874
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 55108, 91.965, 0.0260631
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 65536, 61.2098, 0.0271061
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 77935, 232.701, 0.045081
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 92681, 34.833, 0.0501002
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 110217, 158.456, 0.0599746
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 131072, 343.686, 0.0649895
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 155871, 106.199, 0.105937
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 185363, 146.588, 0.103716
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 220435, 118.499, 0.127289
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 262144, 313.594, 0.138043
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 311743, 382.887, 0.221252
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 370727, 280.517, 0.227989
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 440871, 118.337, 0.266296
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 524288, 309.047, 0.278166
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 623487, 655.52, 0.445346
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 741455, 96.6169, 0.464685
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 881743, 161.942, 0.552261
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 1048576, 550.877, 0.591324
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 1246974, 103.408, 1.10948
16, hpce.abp.fast_fourier_transform_taskgroup, 4, 4, 1482910, 265.466, 1.01832
