#  name, allowedP, trueP, n, [sentinel], time
hpce.direct_fourier_transform, 1, 4, 16, 5.08428, 0.000410284
hpce.direct_fourier_transform, 1, 4, 19, 4.44305, 0.000190545
hpce.direct_fourier_transform, 1, 4, 22, 3.74936, 0.000354055
hpce.direct_fourier_transform, 1, 4, 26, 6.00059, 0.000505686
hpce.direct_fourier_transform, 1, 4, 32, 5.12512, 0.00118409
hpce.direct_fourier_transform, 1, 4, 38, 12.0709, 0.000832219
hpce.direct_fourier_transform, 1, 4, 45, 6.4673, 0.00120532
hpce.direct_fourier_transform, 1, 4, 53, 10.349, 0.00128951
hpce.direct_fourier_transform, 1, 4, 64, 8.48267, 0.00431888
hpce.direct_fourier_transform, 1, 4, 76, 0.770689, 0.00404174
hpce.direct_fourier_transform, 1, 4, 90, 8.68704, 0.00543844
hpce.direct_fourier_transform, 1, 4, 107, 6.6972, 0.00564607
hpce.direct_fourier_transform, 1, 4, 128, 6.99139, 0.0117489
hpce.direct_fourier_transform, 1, 4, 152, 15.2411, 0.0158335
hpce.direct_fourier_transform, 1, 4, 181, 4.25256, 0.0160167
hpce.direct_fourier_transform, 1, 4, 215, 6.5401, 0.0248367
hpce.direct_fourier_transform, 1, 4, 256, 7.77228, 0.0419551
hpce.direct_fourier_transform, 1, 4, 304, 7.41879, 0.0539363
hpce.direct_fourier_transform, 1, 4, 362, 17.4657, 0.0667862
hpce.direct_fourier_transform, 1, 4, 430, 18.7009, 0.097574
hpce.direct_fourier_transform, 1, 4, 512, 6.38456, 0.150611
hpce.direct_fourier_transform, 1, 4, 608, 21.7851, 0.208029
hpce.direct_fourier_transform, 1, 4, 724, 8.56682, 0.269764
hpce.direct_fourier_transform, 1, 4, 861, 10.009, 0.375483
hpce.direct_fourier_transform, 1, 4, 1024, 15.0743, 0.563396
hpce.direct_fourier_transform, 1, 4, 1217, 30.1267, 0.729025
hpce.direct_fourier_transform, 1, 4, 1448, 32.4621, 1.07075
hpce.direct_fourier_transform, 1, 4, 1722, 26.774, 1.50908
hpce.direct_fourier_transform, 1, 4, 2048, 50.2559, 2.19325
hpce.direct_fourier_transform, 1, 4, 2435, 37.1636, 2.96158
hpce.direct_fourier_transform, 1, 4, 2896, 19.2577, 4.13762
hpce.direct_fourier_transform, 1, 4, 3444, 28.0925, 5.15026
hpce.direct_fourier_transform, 1, 4, 4096, 41.5433, 8.07397
hpce.direct_fourier_transform, 1, 4, 4870, 100.905, 10.0808
hpce.direct_fourier_transform, 1, 4, 5792, 28.9433, 14.3698
hpce.direct_fourier_transform, 1, 4, 6888, 74.038, 15.0237
hpce.direct_fourier_transform, 1, 4, 8192, 105.398, 20.4978
hpce.direct_fourier_transform, 1, 4, 9741, 59.7546, 26.8213
hpce.direct_fourier_transform, 1, 4, 11585, 144.806, 38.9811
